R$ 14.999,<selenium.webdriver.remote.webelement.WebElement (session="781f88ff532116b5f1773c31dc448343", element="f.F8E71058C05F1D0EAE85F2540C1C4D54.d.F5EE2CD220B5287F1099FE1C5683D9A4.e.75")>,
R$ 12.500,<selenium.webdriver.remote.webelement.WebElement (session="781f88ff532116b5f1773c31dc448343", element="f.F8E71058C05F1D0EAE85F2540C1C4D54.d.F5EE2CD220B5287F1099FE1C5683D9A4.e.91")>,
R$ 4.490,<selenium.webdriver.remote.webelement.WebElement (session="781f88ff532116b5f1773c31dc448343", element="f.F8E71058C05F1D0EAE85F2540C1C4D54.d.F5EE2CD220B5287F1099FE1C5683D9A4.e.107")>,
R$ 8.187,<selenium.webdriver.remote.webelement.WebElement (session="781f88ff532116b5f1773c31dc448343", element="f.F8E71058C05F1D0EAE85F2540C1C4D54.d.F5EE2CD220B5287F1099FE1C5683D9A4.e.123")>,
R$ 7.026,<selenium.webdriver.remote.webelement.WebElement (session="781f88ff532116b5f1773c31dc448343", element="f.F8E71058C05F1D0EAE85F2540C1C4D54.d.F5EE2CD220B5287F1099FE1C5683D9A4.e.139")>,
R$ 7.583,<selenium.webdriver.remote.webelement.WebElement (session="781f88ff532116b5f1773c31dc448343", element="f.F8E71058C05F1D0EAE85F2540C1C4D54.d.F5EE2CD220B5287F1099FE1C5683D9A4.e.155")>,
R$ 4.185,<selenium.webdriver.remote.webelement.WebElement (session="781f88ff532116b5f1773c31dc448343", element="f.F8E71058C05F1D0EAE85F2540C1C4D54.d.F5EE2CD220B5287F1099FE1C5683D9A4.e.171")>,
R$ 5.347,<selenium.webdriver.remote.webelement.WebElement (session="781f88ff532116b5f1773c31dc448343", element="f.F8E71058C05F1D0EAE85F2540C1C4D54.d.F5EE2CD220B5287F1099FE1C5683D9A4.e.187")>,
R$ 7.877,<selenium.webdriver.remote.webelement.WebElement (session="781f88ff532116b5f1773c31dc448343", element="f.F8E71058C05F1D0EAE85F2540C1C4D54.d.F5EE2CD220B5287F1099FE1C5683D9A4.e.203")>,
R$ 4.984,<selenium.webdriver.remote.webelement.WebElement (session="781f88ff532116b5f1773c31dc448343", element="f.F8E71058C05F1D0EAE85F2540C1C4D54.d.F5EE2CD220B5287F1099FE1C5683D9A4.e.219")>,
R$ 7.403,<selenium.webdriver.remote.webelement.WebElement (session="781f88ff532116b5f1773c31dc448343", element="f.F8E71058C05F1D0EAE85F2540C1C4D54.d.F5EE2CD220B5287F1099FE1C5683D9A4.e.235")>,
